date,open,high,low,close,volume,outstanding_share,turnover
2013-10-16,4.3425266937790985,4.449222681341238,4.171813113679674,4.225161107460744,17641218.0,9850714660.0,0.0017908566646067077
2013-10-17,4.235830706216959,4.3638658912915265,4.214491508704531,4.2678395024856,10965574.0,9850714660.0,0.0011131754779708542
2013-10-18,4.278509101241814,4.289178699998028,4.193152311192103,4.235830706216959,5748138.0,9850714660.0,0.0005835249723901758
2013-10-21,4.257169903729387,4.299848298754243,4.193152311192103,4.278509101241814,8133143.0,9850714660.0,0.0008256398932176562
2013-10-22,4.289178699998028,4.3638658912915265,4.171813113679674,4.193152311192103,17188982.0,9850714660.0,0.0017449477112354
2013-10-23,4.203821909948316,4.214491508704531,3.990429934824036,4.033108329848892,13472393.0,9850714660.0,0.0013676564051445176
2013-10-24,4.043777928605106,4.075786724873748,3.9584211385553942,3.979760336067822,8378280.0,9850714660.0,0.0008505250927651984
2013-10-25,3.979760336067822,4.022438731092678,3.9157427435305383,3.9584211385553942,6361502.0,9850714660.0,0.0006457909115804193
2013-10-28,4.00109953358025,4.033108329848892,3.873064348505682,3.9050731447743243,9199448.0,9850714660.0,0.0009338863541906715
2013-10-29,3.9264123422867523,3.9584211385553942,3.777037959699756,3.8410555522370404,9179797.0,9850714660.0,0.0009318914735471589
2013-10-30,3.8410555522370404,3.9370819410429663,3.830385953480826,3.9370819410429663,5948289.0,9850714660.0,0.0006038433966779827
2013-10-31,3.9477515397991803,4.171813113679674,3.8623947497494684,4.011769132336464,10891668.0,9850714660.0,0.0011056728751089415
2013-11-01,3.9584211385553942,3.990429934824036,3.89440354601811,3.969090737311608,5486622.0,9850714660.0,0.000556977050840695
2013-11-04,3.990429934824036,4.022438731092678,3.9584211385553942,3.969090737311608,4706596.0,9850714660.0,0.00047779233918039405
2013-11-05,3.969090737311608,3.990429934824036,3.9050731447743243,3.969090737311608,3452286.0,9850714660.0,0.0003504604609062953
2013-11-06,3.979760336067822,4.022438731092678,3.9477515397991803,3.969090737311608,6095098.0,9850714660.0,0.0006187467823781225
2013-11-07,3.9477515397991803,3.9584211385553942,3.8837339472618964,3.89440354601811,3819539.0,9850714660.0,0.0003877423244741514
2013-11-08,3.9050731447743243,3.9050731447743243,3.819716354724612,3.851725150993254,3572905.0,9850714660.0,0.0003627051562571603
2013-11-11,3.851725150993254,3.89440354601811,3.830385953480826,3.851725150993254,2483058.0,9850714660.0,0.0002520688179186382
2013-11-12,3.8623947497494684,3.9370819410429663,3.8623947497494684,3.9050731447743243,2801473.0,9850714660.0,0.00028439286860837767
2013-11-13,3.9157427435305383,3.9264123422867523,3.798377157212184,3.809046755968398,2902902.0,9850714660.0,0.00029468948195074407
2013-11-14,3.809046755968398,3.8623947497494684,3.777037959699756,3.830385953480826,2860350.0,9850714660.0,0.0002903697953626443
2013-11-15,3.8410555522370404,3.969090737311608,3.809046755968398,3.9157427435305383,6004547.0,9850714660.0,0.0006095544543973219
2013-11-18,3.9264123422867523,4.075786724873748,3.9157427435305383,4.022438731092678,8281393.0,9850714660.0,0.0008406895627205184
2013-11-19,4.043777928605106,4.05444752736132,3.969090737311608,4.00109953358025,6468231.0,9850714660.0,0.0006566255569522303
2013-11-20,4.022438731092678,4.033108329848892,3.9584211385553942,4.022438731092678,5329530.0,9850714660.0,0.0005410297814879556
2013-11-21,4.011769132336464,4.011769132336464,3.9477515397991803,3.969090737311608,4911227.0,9850714660.0,0.0004985655528062976
2013-11-22,3.969090737311608,4.00109953358025,3.9477515397991803,3.969090737311608,4588553.0,9850714660.0,0.00046580914769893454
2013-11-25,3.9584211385553942,4.011769132336464,3.9264123422867523,3.979760336067822,5097060.0,9850714660.0,0.000517430478490786
2013-11-26,3.979760336067822,4.118465119898604,3.969090737311608,4.0971259223861765,15266652.0,9850714660.0,0.001549801463846279
2013-11-27,4.118465119898604,4.118465119898604,4.033108329848892,4.086456323629962,9298726.0,9850714660.0,0.0009439646077414652
2013-11-28,4.150473916167246,4.150473916167246,4.075786724873748,4.086456323629962,7524896.0,9850714660.0,0.0007638934087245199
2013-11-29,4.118465119898604,4.118465119898604,4.075786724873748,4.0971259223861765,5842026.0,9850714660.0,0.0005930560575185719
2013-12-02,4.043777928605106,4.10779552114239,4.00109953358025,4.086456323629962,12491779.0,9850714660.0,0.0012681089069328498
2013-12-03,4.0971259223861765,4.225161107460744,4.086456323629962,4.214491508704531,20027304.0,9850714660.0,0.0020330813236650994
2013-12-04,4.214491508704531,4.3425266937790985,4.171813113679674,4.289178699998028,24567232.0,9850714660.0,0.0024939542812825724
2013-12-05,4.299848298754243,4.32118749626667,4.214491508704531,4.235830706216959,10062755.0,9850714660.0,0.0010215253763121385
2013-12-06,4.235830706216959,4.32118749626667,4.182482712435888,4.214491508704531,10035600.0,9850714660.0,0.0010187687235273142
2013-12-09,4.246500304973172,4.278509101241814,4.203821909948316,4.214491508704531,5867499.0,9850714660.0,0.0005956419612706557
2013-12-10,4.225161107460744,4.459892280097452,4.214491508704531,4.331857095022884,25064952.0,9850714660.0,0.002544480564621288
2013-12-11,4.289178699998028,4.310517897510456,4.139804317411032,4.171813113679674,12902049.0,9850714660.0,0.0013097576617857288
2013-12-12,4.171813113679674,4.246500304973172,4.16114351492346,4.171813113679674,6520223.0,9850714660.0,0.0006619035496456051
2013-12-13,4.139804317411032,4.246500304973172,4.118465119898604,4.193152311192103,5227446.0,9850714660.0,0.0005306666755079879
2013-12-16,4.193152311192103,4.225161107460744,4.075786724873748,4.086456323629962,6064872.0,9850714660.0,0.0006156783755626519
2013-12-17,4.086456323629962,4.225161107460744,4.086456323629962,4.203821909948316,10558678.0,9850714660.0,0.0010718692363382292
2013-12-18,4.214491508704531,4.214491508704531,4.0971259223861765,4.118465119898604,7767165.0,9850714660.0,0.0007884874618832986
2013-12-19,4.139804317411032,4.150473916167246,4.033108329848892,4.033108329848892,6590244.0,9850714660.0,0.000669011764878387
2013-12-20,4.033108329848892,4.065117126117534,3.9264123422867523,3.9370819410429663,5746770.0,9850714660.0,0.0005833860992172928
2013-12-23,3.9370819410429663,4.00109953358025,3.9157427435305383,3.9264123422867523,3889949.0,9850714660.0,0.000394890029227585
2013-12-24,3.9264123422867523,4.00109953358025,3.89440354601811,3.9370819410429663,4273736.0,9850714660.0,0.0004338503496963539
2013-12-25,3.9370819410429663,3.9370819410429663,3.8837339472618964,3.9370819410429663,3662798.0,9850714660.0,0.00037183068705392793
