date,open,high,low,close,volume,outstanding_share,turnover,r_1,r_5,r_10,rsi_5,rsi_14,K,D,J
2009-11-13,10.209269475643161,10.6241159062689,10.087851008142946,10.57352487814381,38061192.0,616038405.0,0.06178379739165775,0.03465346534653467,0.03773584905660372,0.1358695652173914,77.88049911629867,64.202426050049,82.9137844655794,76.84565762557496,95.05003814558827
2009-11-16,10.87707104689435,11.210971832519943,10.66458872876897,10.786007196269187,62390600.0,616038405.0,0.10127712735701924,0.020095693779904316,0.04000000000000005,0.13646055437100194,82.72253222046402,67.08448116925317,78.95401722992649,77.5484441603588,81.7651633690619
2009-11-17,10.786007196269187,11.109789776269764,10.6241159062689,10.988371308769548,45005260.0,616038405.0,0.07305593228396207,0.018761726078799282,0.0720631786771964,0.1312500000000001,86.29424227105966,69.59513668209127,80.61654676642303,78.57114502904687,84.70735024117533
2009-11-18,10.988371308769548,11.008607720019585,10.725297962519079,10.836598224394278,27109380.0,616038405.0,0.04400599017848571,-0.01381215469613258,0.07100000000000001,0.10185185185185187,72.28497514099942,65.55638312412619,77.44228117761536,78.1948570785697,75.93712937570666
2009-11-19,10.826480018769258,10.97825310314453,10.715179756894061,10.917543869394422,24256142.0,616038405.0,0.03937439906851262,0.007469654528478038,0.06831683168316838,0.09877800407331964,74.99160100463968,66.66740100952254,77.40943745174357,77.93305053629433,76.36221128264205
2009-11-20,10.897307458144386,11.109789776269764,10.765770785019152,10.998489514394565,33474300.0,616038405.0,0.054338008358423694,0.0074142724745134185,0.04019138755980863,0.07944389275074475,77.71234313051644,67.78641631239512,79.47087496782905,78.44565868013925,81.52130754320865
2009-11-23,10.998489514394565,11.119907981894782,10.887189252519368,11.099671570644746,28526494.0,616038405.0,0.0463063565006146,0.009199632014719508,0.029080675422138946,0.07024390243902455,80.95054597674127,69.17926683057667,83.44933331188605,80.11355022405485,90.12089948754846
2009-11-24,11.119907981894782,11.18061721564489,10.340806148768396,10.391397176893486,39223984.0,616038405.0,0.06367132906267427,-0.06381039197812217,-0.05432780847145484,0.013820335636722613,35.640638926691096,52.17344260615546,64.64189788359971,74.95633277723647,44.013028096326195
2009-11-26,10.806243607519223,10.887189252519368,10.097969213767964,10.118205625018,40604040.0,616038405.0,0.06591154004432564,-0.026290165530671896,-0.06629318394024278,0.0,28.06644345471753,47.33955741183566,43.99549948996736,64.63605501481344,2.7143884402752008
2009-11-27,9.96643254064273,10.340806148768396,9.936077923767677,10.006905363142803,24857540.0,616038405.0,0.040350633658951834,-0.010999999999999906,-0.08341056533827608,-0.02079207920792063,25.325568826572294,45.490374162181276,31.18218484516343,53.48476495826344,-13.422975381036593
2009-11-30,10.097969213767964,10.482461027518648,10.097969213767964,10.462224616268612,26161644.0,616038405.0,0.042467553625978885,0.04550050556117284,-0.04875804967801281,-0.010526315789473594,50.1964789241614,53.493724523164396,34.88026415151816,47.28326468934836,10.074263075857772
2009-12-01,10.320569737518358,10.57352487814381,10.26997870939327,10.52293385001872,28029004.0,616038405.0,0.04549879321241344,0.005802707930367532,-0.05195989061075661,-0.02439024390243892,52.81566494014996,54.453949009045964,38.97166661591726,44.51273199820466,27.88953585134246
2009-12-02,10.52293385001872,10.533052055643738,10.371160765643449,10.47234282189363,27470720.0,616038405.0,0.04459254451838924,-0.004807692307692358,0.007789678675754605,-0.046961325966850806,50.072605297434,53.46329864208119,40.34425470871447,43.1232395683746,34.78628498939422
2009-12-03,10.411633588143522,10.6241159062689,10.300333326268323,10.441988205018577,24577112.0,616038405.0,0.03989542177975089,-0.00289855072463761,0.03200000000000009,-0.03641456582633046,48.1952852528586,52.84213318100586,40.44630530716467,42.2309281479713,36.877059625551425
2009-12-04,10.381278971268468,10.421751793768541,9.96643254064273,10.229505886893197,32788140.0,616038405.0,0.05322418169691872,-0.020348837209302504,0.022244691607684337,-0.0630213160333643,36.290137381674626,48.58662883178164,34.82328212889564,39.76171280827941,24.9464207701281
2009-12-07,10.229505886893197,10.52293385001872,10.229505886893197,10.411633588143522,19539192.0,2125685907.0,0.009191946907892823,0.017804154302670707,-0.004835589941972971,-0.05335786568537257,49.62305727666025,52.14412051272107,35.95264879053745,38.49202480236543,30.8738967668815
2009-12-08,10.47234282189363,10.786007196269187,10.320569737518358,10.66458872876897,41548316.0,2125685907.0,0.019545839704341608,0.02429543245869768,0.0134615384615383,-0.039197812215132334,63.04849035132904,56.63245145796275,49.50034742064193,42.16146567512426,64.17811091167727
2009-12-09,10.52293385001872,10.694943345644026,10.330687943143378,10.391397176893486,19879570.0,2125685907.0,0.00935207310474962,-0.025616698292219988,-0.007729468599033796,0.0,46.36687531933338,51.06239971325827,50.857374470904155,45.06010194038423,62.451919531944014
2009-12-10,10.411633588143522,10.492579233143665,10.199151270018143,10.330687943143378,15822080.0,2125685907.0,0.007443282165016489,-0.005842259006815996,-0.010658914728682248,0.02100000000000001,43.19242530796263,49.88814214269508,48.71973112875093,46.27997833650646,53.59923671323986
2009-12-11,10.350924354393413,10.391397176893486,10.219387681268179,10.249742298143234,12329043.0,2125685907.0,0.005800030455769494,-0.007835455435847188,0.001978239366963528,0.02426693629929215,38.76867714841859,48.29346085829767,44.0024544973566,45.52080372345651,40.96575604515678
2009-12-14,10.178914858768108,10.300333326268323,10.006905363142803,10.219387681268179,15503252.0,2125685907.0,0.007293293872319962,-0.0029615004935835162,-0.01846452866861036,-0.023210831721470128,36.99268930109728,47.67798585699935,39.623035508525774,43.55488098514627,31.759344555284784
2009-12-15,10.26997870939327,10.26997870939327,10.118205625018,10.138442036268035,11953553.0,2125685907.0,0.005623386296459085,-0.0079207920792079,-0.04933586337760906,-0.03653846153846165,32.09222156262196,45.99460494954004,33.41124177934638,40.17366791654631,19.886389504946536
2009-12-16,10.097969213767964,10.178914858768108,10.01702356876782,10.047378185642874,11500135.0,2125685907.0,0.005410081970308702,-0.008982035928143667,-0.0331061343719572,-0.040579710144927554,27.052646457574923,44.10784127777794,25.566342256189763,35.30455936309413,6.08990804238104
2009-12-17,10.047378185642874,10.108087419392982,9.713477400017279,9.733713811267314,13656158.0,2125685907.0,0.00642435364276045,-0.031218529707955807,-0.05778648383937329,-0.06782945736434129,16.140048235556364,38.28257685933944,17.673158988403227,29.42742590486383,-5.835374844517986
